0x180638d20, il2cpp_override_stack_backtrace, "eRKxLodhKdZ", 0x18175f308, 0x175e108
0x180638d50, il2cpp_type_get_object, "BVKCbVddGIW", 0x18175f368, 0x175e168
0x180638d80, il2cpp_type_get_type, "uRVTndcjmUC", 0x18175f3b8, 0x175e1b8
0x180638db0, il2cpp_type_get_class_or_element_class, "nyroEcPOwJT", 0x18175f408, 0x175e208
0x180638de0, il2cpp_type_get_name, "dvjXKcczxAH", 0x18175f478, 0x175e278
0x180638e10, il2cpp_type_is_byref, "hsRTOoGncAE", 0x18175f4c8, 0x175e2c8
0x180638e40, il2cpp_type_get_attrs, "bFOCzOSkFbN", 0x18175f518, 0x175e318
0x180638e70, il2cpp_type_equals, "folfkEUlgOW", 0x18175f568, 0x175e368
0x180638ea0, il2cpp_type_get_assembly_qualified_name, "bLgDmFhqZTW", 0x18175f5b0, 0x175e3b0
0x180638ed0, il2cpp_type_is_static, "CKFwZxWP_gK", 0x18175f628, 0x175e428
0x180638f00, il2cpp_type_is_pointer_type, "yzwE_fUKMoz", 0x18175f678, 0x175e478
0x180638f30, il2cpp_image_get_assembly, "cxfdbY_cjZi", 0x18175f6d0, 0x175e4d0
0x180638f60, il2cpp_image_get_name, "gua_jybYLck", 0x18175f728, 0x175e528
0x180638f90, il2cpp_image_get_filename, "PuCIoMBPkLX", 0x18175f778, 0x175e578
0x180638fc0, il2cpp_image_get_entry_point, "CPGsnrQOQPb", 0x18175f7d0, 0x175e5d0
0x180638ff0, il2cpp_image_get_class_count, "dOJyAPADi_c", 0x18175f830, 0x175e630
0x180639020, il2cpp_image_get_class, "dytvPPbRSjw", 0x18175f890, 0x175e690
0x180639050, il2cpp_capture_memory_snapshot, "WM_lRnRWUVt", 0x18175f8e0, 0x175e6e0
0x180639080, il2cpp_free_captured_memory_snapshot, "DBJuS_xbNg_", 0x18175f940, 0x175e740
0x1806390b0, il2cpp_set_find_plugin_callback, "fyXpNiG_tup", 0x18175f9b8, 0x175e7b8
0x1806390e0, il2cpp_register_log_callback, "hqxCxJdRuvC", 0x18175fa18, 0x175e818
0x180639110, il2cpp_debugger_set_agent_options, "hseVJFJ_Vmn", 0x18175fa78, 0x175e878
0x180639140, il2cpp_is_debugger_attached, "vsDhtfundWY", 0x18175fae0, 0x175e8e0
0x180639170, il2cpp_register_debugger_agent_transport, "oZilJVcJgAy", 0x18175fb38, 0x175e938
0x1806391a0, il2cpp_debug_get_method_info, "ESUpydCcZju", 0x18175fbb8, 0x175e9b8
0x1806391d0, il2cpp_unity_install_unitytls_interface, "lAiixbTXTBc", 0x18175fc18, 0x175ea18
0x180639200, il2cpp_custom_attrs_from_class, "QAmThTj_OFD", 0x18175fc88, 0x175ea88
0x180639230, il2cpp_custom_attrs_from_method, "fhqVnajwgAh", 0x18175fce8, 0x175eae8
0x180639260, il2cpp_custom_attrs_get_attr, "PYTvCNahviT", 0x18175fd48, 0x175eb48
0x180639290, il2cpp_custom_attrs_has_attr, "kvjrRHmFgBU", 0x18175fda8, 0x175eba8
0x1806392c0, il2cpp_custom_attrs_construct, "_GMNxjWWpgu", 0x18175fe08, 0x175ec08
0x1806392f0, il2cpp_custom_attrs_free, "Rvqhotkedrd", 0x18175fe68, 0x175ec68
0x180639320, il2cpp_class_set_userdata, "HRV_gzxrecp", 0x18175fec0, 0x175ecc0
0x180639350, il2cpp_class_get_userdata_offset, "nFMLsiBhDsT", 0x18175ff18, 0x175ed18
0x180639380, il2cpp_set_default_thread_affinity, "zTchnu_hLxO", 0x18175ff80, 0x175ed80
0x1806393b0, il2cpp_unity_set_android_network_up_state_func, "WTCdDsbZcHw", 0x18175ffe8, 0x175ede8
